value,Sepal_Width,Petal_Length,Petal_Width,type
0.8429952,0.8429952,0.8429952,0.8429952,KNN
0.4546485,0.4546485,0.4546485,0.4546485,KNN
0.7981366,0.7981366,0.7981366,0.7981366,KNN
0.9672222,0.9672222,0.9672222,0.9672222,KNN
0.9438581,0.9438581,0.9438581,0.9438581,KNN
0.7698182,0.7698182,0.7698182,0.7698182,KNN
0.9413163,0.9413163,0.9413163,0.9413163,KNN
0.9096296,0.9096296,0.9096296,0.9096296,KNN
0.8147687,0.8147687,0.8147687,0.8147687,KNN
0.6637838,0.6637838,0.6637838,0.6637838,KNN
0.8142857,0.8142857,0.8142857,0.8142857,KNN
0.8,0.8,0.8,0.8,KNN
0.7125,0.7125,0.7125,0.7125,KNN
0.8080645,0.8080645,0.8080645,0.8080645,KNN
0.4407407,0.4407407,0.4407407,0.4407407,KNN
0.9604651,0.9604651,0.9604651,0.9604651,KNN
0.5529412,0.5529412,0.5529412,0.5529412,KNN
0.7878788,0.7878788,0.7878788,0.7878788,KNN
0.655914,0.655914,0.655914,0.655914,KNN
0.6681097,0.6681097,0.6681097,0.6681097,KNN
0.5820106,0.5820106,0.5820106,0.5820106,KNN
0.7078189,0.7078189,0.7078189,0.7078189,KNN
0.9356725,0.9356725,0.9356725,0.9356725,KNN
0.9444444,0.9444444,0.9444444,0.9444444,KNN
0.6111111,0.6111111,0.6111111,0.6111111,KNN
0.7746988,0.7746988,0.7746988,0.7746988,KNN
0.7411765,0.7411765,0.7411765,0.7411765,KNN
0.9073529,0.9073529,0.9073529,0.9073529,KNN
0.7881818,0.7881818,0.7881818,0.7881818,KNN
0.96,0.96,0.96,0.96,KNN
0.8231884,0.8231884,0.8231884,0.8231884,SGPE
0.5743764,0.5743764,0.5743764,0.5743764,SGPE
0.8003796,0.8003796,0.8003796,0.8003796,SGPE
0.9680556,0.9680556,0.9680556,0.9680556,SGPE
0.8341219,0.8341219,0.8341219,0.8341219,SGPE
0.8807273,0.8807273,0.8807273,0.8807273,SGPE
0.925777,0.925777,0.925777,0.925777,SGPE
0.785,0.785,0.785,0.785,SGPE
0.9096296,0.9096296,0.9096296,0.9096296,SGPE
0.6987838,0.6987838,0.6987838,0.6987838,SGPE
0.8619048,0.8619048,0.8619048,0.8619048,SGPE
0.8375,0.8375,0.8375,0.8375,SGPE
0.54375,0.54375,0.54375,0.54375,SGPE
0.7370968,0.7370968,0.7370968,0.7370968,SGPE
0.5333333,0.5333333,0.5333333,0.5333333,SGPE
0.8674419,0.8674419,0.8674419,0.8674419,SGPE
0.6294118,0.6294118,0.6294118,0.6294118,SGPE
0.8888889,0.8888889,0.8888889,0.8888889,SGPE
0.734767,0.734767,0.734767,0.734767,SGPE
0.6984127,0.6984127,0.6984127,0.6984127,SGPE
0.6772487,0.6772487,0.6772487,0.6772487,SGPE
0.7201646,0.7201646,0.7201646,0.7201646,SGPE
0.9083821,0.9083821,0.9083821,0.9083821,SGPE
0.8950617,0.8950617,0.8950617,0.8950617,SGPE
0.7037037,0.7037037,0.7037037,0.7037037,SGPE
0.7927711,0.7927711,0.7927711,0.7927711,SGPE
0.7764706,0.7764706,0.7764706,0.7764706,SGPE
0.9323529,0.9323529,0.9323529,0.9323529,SGPE
0.7627273,0.7627273,0.7627273,0.7627273,SGPE
0.9533333,0.9533333,0.9533333,0.9533333,SGPE



